"stop_id","pid","gender"
"2760","1","Male"
"2761","1","Male"
"2762","1","Female"
"2763","1","Male"
"2764","1","Male"
"2764","2","Female"
"2764","3","Male"
"2765","1","Female"
"2766","1","Male"
"2767","1","Male"
"2768","1","Male"
"2769","1","Male"
"2770","1","Male"
"2771","1","Male"
"2772","1","Female"
"2773","1","Female"
"2774","1","Female"
"2775","1","Female"
"2776","1","Male"
"2777","1","Male"
"2778","1","Female"
"2779","1","Male"
"2780","1","Male"
"2781","1","Male"
"2782","1","Male"
"2783","1","Male"
"2784","1","Male"
"2785","1","Male"
"2786","1","Male"
"2787","1","Female"
"2788","1","Male"
"2789","1","Male"
"2790","1","Male"
"2791","1","Male"
"2792","1","Male"
"2792","2","Female"
"2793","1","Female"
"2794","1","Male"
"2795","1","Male"
"2796","1","Male"
"2797","1","Male"
"2798","1","Female"
"2799","1","Female"
"2800","1","Male"
"2801","1","Male"
"2802","1","Male"
"2803","1","Female"
"2804","1","Male"
"2805","1","Male"
"2806","1","Male"
"2807","1","Male"
"2808","1","Female"
"2809","1","Male"
"2810","1","Male"
"2811","1","Female"
"2811","2","Female"
"2812","1","Male"
"2813","1","Male"
"2814","1","Male"
"2815","1","Male"
"2816","1","Male"
"2817","1","Male"
"2818","1","Male"
"2819","1","Male"
"2820","1","Male"
"2821","1","Male"
"2822","1","Male"
"2823","1","Female"
"2824","1","Male"
"2825","1","Male"
"2826","1","Male"
"2827","1","Female"
"2828","1","Male"
"2829","1","Female"
"2830","1","Female"
"2831","1","Female"
"2832","1","Male"
"2833","1","Female"
"2834","1","Male"
"2835","1","Male"
"2836","1","Male"
"2837","1","Male"
"2838","1","Male"
"2839","1","Male"
"2840","1","Male"
"2841","1","Male"
"2842","1","Female"
"2843","1","Male"
"2844","1","Male"
"2845","1","Male"
"2846","1","Male"
"2847","1","Female"
"2848","1","Male"
"2849","1","Male"
"2850","1","Male"
"2851","1","Male"
"2852","1","Male"
"2853","1","Male"
"2854","1","Female"
"2855","1","Male"
"2856","1","Female"
"2857","1","Male"
"2858","1","Female"
"2859","1","Male"
"2860","1","Male"
"2861","1","Male"
"2862","1","Male"
"2863","1","Female"
"2864","1","Female"
"2865","1","Female"
"2866","1","Female"
"2867","1","Male"
"2868","1","Female"
"2869","1","Male"
"2870","1","Male"
"2871","1","Male"
"2872","1","Male"
"2873","1","Male"
"2874","1","Female"
"2875","1","Female"
"2876","1","Male"
"2877","1","Male"
"2878","1","Male"
"2879","1","Male"
"2880","1","Female"
"2881","1","Female"
"2882","1","Female"
"2883","1","Male"
"2884","1","Female"
"2885","1","Female"
"2886","1","Male"
"2887","1","Female"
"2888","1","Female"
"2889","1","Male"
"2890","1","Male"
"2891","1","Female"
"2892","1","Male"
"2893","1","Male"
"2894","1","Male"
"2895","1","Female"
"2896","1","Female"
"2897","1","Female"
"2898","1","Female"
"2899","1","Male"
"2900","1","Male"
"2900","2","Female"
"2901","1","Male"
"2902","1","Male"
"2903","1","Female"
"2904","1","Male"
"2905","1","Female"
"2906","1","Male"
"2907","1","Male"
"2908","1","Male"
"2909","1","Male"
"2910","1","Male"
"2911","1","Male"
"2912","1","Male"
"2913","1","Female"
"2914","1","Male"
"2915","1","Female"
"2916","1","Female"
"2917","1","Male"
"2918","1","Male"
"2919","1","Male"
"2920","1","Female"
"2921","1","Female"
"2922","1","Male"
"2923","1","Male"
"2924","1","Male"
"2925","1","Female"
"2926","1","Male"
"2927","1","Male"
"2927","2","Male"
"2928","1","Male"
"2928","2","Male"
"2929","1","Male"
"2930","1","Female"
"2931","1","Male"
"2932","1","Male"
"2933","1","Male"
"2934","1","Female"
"2935","1","Male"
"2936","1","Male"
"2937","1","Male"
"2937","2","Male"
"2937","3","Male"
"2938","1","Female"
"2939","1","Male"
"2940","1","Male"
"2941","1","Female"
"2942","1","Female"
"2943","1","Male"
"2944","1","Male"
"2945","1","Female"
"2946","1","Female"
"2947","1","Male"
"2948","1","Male"
"2949","1","Female"
"2950","1","Male"
"2951","1","Male"
"2952","1","Male"
"2953","1","Male"
"2954","1","Male"
"2955","1","Female"
"2956","1","Male"
"2957","1","Male"
"2958","1","Male"
"2959","1","Female"
"2960","1","Male"
"2961","1","Female"
"2961","2","Male"
"2962","1","Male"
"2963","1","Male"
"2964","1","Male"
"2965","1","Male"
"2966","1","Male"
"2967","1","Male"
"2968","1","Male"
"2969","1","Female"
"2970","1","Female"
"2971","1","Female"
"2972","1","Male"
"2973","1","Male"
"2974","1","Male"
"2975","1","Male"
"2976","1","Male"
"2977","1","Female"
"2978","1","Male"
"2979","1","Female"
"2980","1","Male"
"2981","1","Female"
"2982","1","Male"
"2983","1","Male"
"2984","1","Male"
"2985","1","Female"
"2986","1","Male"
"2987","1","Male"
"2988","1","Male"
"2989","1","Male"
"2990","1","Male"
"2991","1","Male"
"2992","1","Male"
"2993","1","Male"
"2994","1","Male"
"2995","1","Male"
"2996","1","Male"
"2997","1","Female"
"2998","1","Male"
"2999","1","Male"
"3000","1","Male"
"3001","1","Female"
"3002","1","Male"
"3003","1","Male"
"3004","1","Male"
"3005","1","Male"
"3006","1","Male"
"3007","1","Female"
"3008","1","Male"
"3009","1","Female"
"3010","1","Male"
"3011","1","Male"
"3011","2","Female"
"3012","1","Male"
"3013","1","Male"
"3014","1","Male"
"3014","2","Male"
"3015","1","Male"
"3016","1","Male"
"3017","1","Male"
"3017","2","Female"
"3017","3","Male"
"3018","1","Male"
"3019","1","Male"
"3020","1","Male"
"3021","1","Male"
"3022","1","Male"
"3023","1","Male"
"3024","1","Male"
"3025","1","Female"
"3026","1","Male"
"3027","1","Female"
"3028","1","Male"
"3028","2","Male"
"3029","1","Female"
"3030","1","Female"
"3031","1","Male"
"3032","1","Female"
"3033","1","Male"
"3034","1","Female"
"3034","2","Female"
"3035","1","Male"
"3036","1","Male"
"3037","1","Male"
"3038","1","Male"
"3038","2","Male"
"3038","3","Male"
"3039","1","Male"
"3040","1","Male"
"3040","2","Female"
"3041","1","Male"
"3041","2","Male"
"3042","1","Male"
"3042","2","Male"
"3042","3","Male"
"3043","1","Male"
"3044","1","Male"
"3044","2","Male"
"3045","1","Female"
"3046","1","Male"
"3046","2","Male"
"3047","1","Male"
"3048","1","Male"
"3049","1","Female"
"3049","2","Male"
"3050","1","Female"
"3051","1","Female"
"3052","1","Male"
"3053","1","Male"
"3053","2","Male"
"3054","1","Male"
"3055","1","Male"
"3056","1","Male"
"3057","1","Female"
"3058","1","Male"
"3059","1","Female"
"3060","1","Male"
"3061","1","Male"
"3062","1","Male"
"3063","1","Female"
"3064","1","Female"
"3065","1","Male"
"3066","1","Male"
"3067","1","Male"
"3068","1","Male"
"3069","1","Male"
"3070","1","Male"
"3071","1","Male"
"3072","1","Male"
"3073","1","Male"
"3074","1","Male"
"3075","1","Male"
"3076","1","Male"
"3077","1","Male"
"3078","1","Male"
"3079","1","Male"
"3080","1","Male"
"3081","1","Male"
"3082","1","Female"
"3083","1","Male"
"3083","2","Male"
"3083","3","Male"
"3084","1","Male"
"3085","1","Male"
"3086","1","Male"
"3087","1","Male"
"3088","1","Male"
"3089","1","Female"
"3090","1","Female"
"3090","2","Male"
"3091","1","Female"
"3092","1","Male"
"3092","2","Male"
"3092","3","Female"
"3093","1","Female"
"3094","1","Female"
"3095","1","Male"
"3096","1","Male"
"3097","1","Male"
"3098","1","Male"
"3098","2","Female"
"3098","3","Male"
"3099","1","Male"
"3100","1","Male"
"3101","1","Female"
"3102","1","Male"
"3103","1","Male"
"3104","1","Male"
"3105","1","Female"
"3106","1","Female"
"3107","1","Female"
"3108","1","Male"
"3108","2","Male"
"3109","1","Female"
"3110","1","Male"
"3111","1","Female"
"3112","1","Male"
"3113","1","Male"
"3114","1","Male"
"3115","1","Male"
"3116","1","Female"
"3117","1","Female"
"3118","1","Male"
"3119","1","Male"
"3120","1","Male"
"3120","2","Male"
"3121","1","Male"
"3122","1","Female"
"3123","1","Male"
"3124","1","Female"
"3124","2","Female"
"3125","1","Female"
"3126","1","Male"
"3127","1","Female"
"3128","1","Female"
"3129","1","Female"
"3130","1","Male"
"3131","1","Male"
"3132","1","Male"
"3133","1","Male"
"3134","1","Female"
"3135","1","Male"
"3136","1","Female"
"3137","1","Male"
"3138","1","Male"
"3139","1","Male"
"3140","1","Male"
"3141","1","Male"
"3142","1","Male"
"3143","1","Male"
"3144","1","Male"
"3145","1","Male"
"3146","1","Male"
